site,study_count,y,x
central coast range,1,35.4,-120.37
UC sierra foothill research station,15,39.15,-121.17
San Joaquin Experimental Range,8,33.39,-117.51
Hopland Research and Extension Center,5,39,-123.4
McLaughlin Reserve,2,38.52,-122.25
Ranches in South Bay area (San Francisco) CA,2,37.23,-122.33
"UC Hastings natural reservation, Santa Lucia Mountains",4,36.23,-121.32
Tonzi Ranch,1,38.2552,-120.5758
Sedgwick,4,34.6928,-120.0406
Blue Oak Ranch,1,37.23,-121.43
